image,mode,dice,source
K018_Week3_LFOV.nii.gz,binary,0.816226,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week3.nii\K018_Week3_LFOV_meta.json
K018_Week4_LFOV,binary,0.745848,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week4.nii\metrics.csv
K018_Week4_LFOV.nii.gz,binary,0.745848,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week4.nii\K018_Week4_LFOV_meta.json
K018_Week5_LFOV,binary,0.738073,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week5.nii\metrics.csv
K018_Week5_LFOV.nii.gz,binary,0.738073,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week5.nii\K018_Week5_LFOV_meta.json
K018_Week6_LFOV,binary,0.660653,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week6.nii\metrics.csv
K018_Week6_LFOV.nii.gz,binary,0.660653,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week6.nii\K018_Week6_LFOV_meta.json
K018_Week7_LFOV,binary,0.741557,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week7.nii\metrics.csv
K018_Week7_LFOV.nii.gz,binary,0.741557,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K018_Week7.nii\K018_Week7_LFOV_meta.json
K019_Week0_LFOV,binary,0.729608,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week0.nii\metrics.csv
K019_Week0_LFOV.nii.gz,binary,0.729608,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week0.nii\K019_Week0_LFOV_meta.json
K019_Week1_LFOV,binary,0.851951,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week1.nii\metrics.csv
K019_Week1_LFOV.nii.gz,binary,0.851951,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week1.nii\K019_Week1_LFOV_meta.json
K019_Week2_LFOV,binary,0.816244,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week2.nii\metrics.csv
K019_Week2_LFOV.nii.gz,binary,0.816244,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week2.nii\K019_Week2_LFOV_meta.json
K019_Week3_LFOV,binary,0.811983,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week3.nii\metrics.csv
K019_Week3_LFOV.nii.gz,binary,0.811983,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week3.nii\K019_Week3_LFOV_meta.json
K019_Week4_LFOV,binary,0.813487,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week4.nii\metrics.csv
K019_Week4_LFOV.nii.gz,binary,0.813487,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\K019_Week4.nii\K019_Week4_LFOV_meta.json
